company_name,peer_group,return_on_equity_pct_percentile,net_profit_margin_pct_percentile,debt_to_equity_percentile,free_cash_flow_cr_percentile,composite_score_percentile
Punjab National Bank,Public Sector Banks,71.42857142857143,42.857142857142854,71.42857142857143,42.857142857142854,42.857142857142854
Punjab National Bank,Public Sector Banks,71.42857142857143,42.857142857142854,71.42857142857143,42.857142857142854,42.857142857142854
Punjab National Bank,Public Sector Banks,71.42857142857143,42.857142857142854,71.42857142857143,42.857142857142854,42.857142857142854
Power Grid Corporation of India Ltd,Power & Utilities,81.25,68.75,68.75,93.75,81.25
Power Grid Corporation of India Ltd,Power & Utilities,81.25,68.75,68.75,93.75,81.25
REC Ltd,,,,,,
"Reliance Industries Ltd
",Oil & Gas,20.0,80.0,60.0,100.0,20.0
SBI Life Insurance Company Ltd,Life Insurance,75.0,50.0,87.5,50.0,25.0
Shree Cement Ltd,,,,,,
"Shriram Finance Ltd
",Consumer Finance,33.33333333333333,66.66666666666666,66.66666666666666,100.0,83.33333333333334
Siemens Ltd,,,,,,
Sun Pharmaceuticals Industries Ltd,Pharmaceuticals,40.0,60.0,60.0,100.0,100.0
Tata Consumer Products Ltd,FMCG,28.57142857142857,28.57142857142857,42.857142857142854,28.57142857142857,28.57142857142857
Tata Motors Ltd,Automobiles,100.0,25.0,37.5,100.0,43.75
"Tata Power Company Ltd
",Power & Utilities,50.0,12.5,25.0,50.0,37.5
"Tata Steel Ltd
",Steel,25.0,25.0,50.0,75.0,62.5
Tata Consultancy Services Ltd,IT Services,100.0,100.0,83.33333333333334,100.0,58.333333333333336
Tech Mahindra Ltd,IT Services,25.0,25.0,41.66666666666667,41.66666666666667,25.0
Tech Mahindra Ltd,IT Services,25.0,25.0,41.66666666666667,41.66666666666667,25.0
"Titan Company Ltd
",,,,,,
Torrent Pharmaceuticals Ltd,Pharmaceuticals,100.0,20.0,20.0,80.0,70.0
Trent Ltd,,,,,,
TVS Motor Company Ltd,Automobiles,62.5,12.5,12.5,25.0,12.5
,,,,,,
,,,,,,
Interglobe Aviation Ltd,,,,,,
